,open,high,low,close,volume
2023-02-18 09:00:00,9.6,9.6,9.09,9.35,602183925.030569
2023-02-19 09:00:00,9.34,9.55,9.18,9.35,496591320.8768795
2023-02-20 09:00:00,9.35,9.45,8.99,9.34,608393966.6563741
2023-02-21 09:00:00,9.35,9.37,9.06,9.17,437031291.19723684
2023-02-22 09:00:00,9.17,9.5,9.07,9.38,1385873918.9504702
2023-02-23 09:00:00,9.38,9.44,9.15,9.36,420629326.1213229
2023-02-24 09:00:00,9.37,9.66,9.25,9.58,774528840.1649768
2023-02-25 09:00:00,9.58,9.59,9.0,9.28,388922141.5453865
2023-02-26 09:00:00,9.28,9.42,9.1,9.29,251838566.22098446
2023-02-27 09:00:00,9.26,9.33,9.07,9.22,168567950.2236056
2023-02-28 09:00:00,9.23,9.23,9.12,9.19,108764312.28202613
2023-03-01 09:00:00,9.2,9.23,9.06,9.21,138687279.49427053
2023-03-02 09:00:00,9.21,9.21,8.72,8.96,225315534.03246766
2023-03-03 09:00:00,8.98,8.98,8.18,8.46,203248768.39059857
2023-03-04 09:00:00,8.46,8.66,8.38,8.5,92786377.81775457
2023-03-05 09:00:00,8.51,9.25,8.38,8.45,938642165.4738923
2023-03-06 09:00:00,8.45,8.58,7.94,8.45,352035441.70681024
2023-03-07 09:00:00,8.45,8.69,8.2,8.69,205322381.34406772
2023-03-08 09:00:00,8.72,8.76,8.3,8.36,130037291.64258313
2023-03-09 09:00:00,8.36,8.38,7.99,8.1,116365576.64185934
2023-03-10 09:00:00,8.1,10.1,7.73,8.39,12965137791.986322
2023-03-11 09:00:00,8.39,8.44,7.75,7.93,1537508981.4602845
2023-03-12 09:00:00,7.93,8.05,7.34,8.04,927290397.1609377
2023-03-13 09:00:00,8.04,8.59,7.74,8.56,1255462523.200905
2023-03-14 09:00:00,8.56,8.89,8.16,8.79,1128138239.6734607
2023-03-15 09:00:00,8.79,9.88,8.3,8.93,5459572061.547324
2023-03-16 09:00:00,8.93,8.95,8.44,8.93,572378093.1093842
2023-03-17 09:00:00,8.89,9.25,8.74,9.23,619587095.5266206
2023-03-18 09:00:00,9.23,9.25,8.81,8.94,440269689.81951714
2023-03-19 09:00:00,8.94,9.04,8.81,9.01,243529212.02511072
2023-03-20 09:00:00,9.01,9.02,8.73,8.74,223797365.48792693
2023-03-21 09:00:00,8.74,8.85,8.26,8.78,378893097.57915246
2023-03-22 09:00:00,8.8,8.8,8.4,8.5,148326484.33479628
2023-03-23 09:00:00,8.49,8.67,8.32,8.64,153020491.65141863
2023-03-24 09:00:00,8.64,8.67,8.5,8.55,103625279.04358077
2023-03-25 09:00:00,8.55,8.8,8.47,8.66,278010762.0318362
2023-03-26 09:00:00,8.66,8.7,8.51,8.61,82438591.61716416
2023-03-27 09:00:00,8.59,8.63,7.93,8.1,203781786.84789786
2023-03-28 09:00:00,8.1,8.23,7.86,8.21,126009188.58289976
2023-03-29 09:00:00,8.24,8.53,8.19,8.49,166036264.32425186
