,open,high,low,close,volume
2023-02-18 09:00:00,508.0,513.0,504.0,509.0,132820796.0979048
2023-02-19 09:00:00,509.0,512.0,500.0,502.0,197995815.17139423
2023-02-20 09:00:00,502.0,523.0,494.0,512.0,374922028.3861425
2023-02-21 09:00:00,512.0,519.0,505.0,509.0,284693172.3331878
2023-02-22 09:00:00,510.0,520.0,501.0,516.0,272660667.23000145
2023-02-23 09:00:00,516.0,518.0,506.0,509.0,179918678.5876553
2023-02-24 09:00:00,508.0,511.0,496.0,503.0,210817323.73700872
2023-02-25 09:00:00,504.0,505.0,496.0,504.0,127006264.721898
2023-02-26 09:00:00,505.0,505.0,500.0,502.0,89084167.3519349
2023-02-27 09:00:00,502.0,507.0,495.0,503.0,173272798.16562235
2023-02-28 09:00:00,503.0,509.0,496.0,504.0,167321848.36743826
2023-03-01 09:00:00,504.0,507.0,499.0,505.0,157911907.71786737
2023-03-02 09:00:00,506.0,506.0,497.0,500.0,143936099.34238386
2023-03-03 09:00:00,501.0,505.0,481.0,501.0,257988913.893267
2023-03-04 09:00:00,501.0,507.0,495.0,499.0,117487492.33486411
2023-03-05 09:00:00,499.0,502.0,490.0,491.0,104811167.51043728
2023-03-06 09:00:00,490.0,497.0,480.0,491.0,165481021.05000386
2023-03-07 09:00:00,491.0,512.0,489.0,505.0,329189377.90485597
2023-03-08 09:00:00,505.0,534.0,496.0,519.0,580289057.7311819
2023-03-09 09:00:00,519.0,531.0,497.0,501.0,418087492.72724164
2023-03-10 09:00:00,501.0,506.0,490.0,501.0,355715100.0707665
2023-03-11 09:00:00,502.0,507.0,489.0,493.0,212439919.1001238
2023-03-12 09:00:00,493.0,495.0,467.0,494.0,364021787.690678
2023-03-13 09:00:00,494.0,502.0,473.0,490.0,546406533.8897247
2023-03-14 09:00:00,490.0,505.0,478.0,490.0,546725881.7709333
2023-03-15 09:00:00,490.0,494.0,479.0,481.0,292860826.0690029
2023-03-16 09:00:00,482.0,488.0,477.0,485.0,157437762.58032113
2023-03-17 09:00:00,485.0,506.0,484.0,501.0,395321150.7271951
2023-03-18 09:00:00,500.0,515.0,494.0,497.0,305290946.98727876
2023-03-19 09:00:00,496.0,529.0,496.0,515.0,497785782.80644315
2023-03-20 09:00:00,514.0,519.0,501.0,502.0,275579679.49620575
2023-03-21 09:00:00,502.0,654.0,501.0,622.0,1799478616.8625052
